payment_detail_id,payment_method_code,payment_method_value,payment_method_expiry
19,MOBILE_PHONE_PLATFORM,ApplePay,
7,MOBILE_PHONE_PLATFORM,SamsungPay,
6,MOBILE_PHONE_PLATFORM,SamsungPay,
201,MOBILE_PHONE_PLATFORM,SamsungPay,
9,MOBILE_PHONE_PLATFORM,SamsungPay,
17,MOBILE_PHONE_PLATFORM,SamsungPay,
5,MOBILE_PHONE_PLATFORM,GooglePay,
1,CREDIT_CARD,4759339924109,
10,MOBILE_PHONE_PLATFORM,SamsungPay,
3,MOBILE_PHONE_PLATFORM,SamsungPay,
12,CREDIT_CARD,4580187525768,
8,PAYPAL,jward@example.org,
11,CREDIT_CARD,2457894019477215,
2,MOBILE_PHONE_PLATFORM,GooglePay,
200,PAYPAL,droberson@example.com,
4,PAYPAL,droberson@example.com,
13,MOBILE_PHONE_PLATFORM,ApplePay,
18,MOBILE_PHONE_PLATFORM,GooglePay,
14,MOBILE_PHONE_PLATFORM,SamsungPay,
15,MOBILE_PHONE_PLATFORM,GooglePay,
16,MOBILE_PHONE_PLATFORM,GooglePay,
26,PAYPAL,bfranklin@example.com,
29,MOBILE_PHONE_PLATFORM,SamsungPay,
22,CREDIT_CARD,2720201947623988,
34,MOBILE_PHONE_PLATFORM,SamsungPay,
32,MOBILE_PHONE_PLATFORM,ApplePay,
202,PAYPAL,zroberts@example.net,
31,PAYPAL,zroberts@example.net,
25,MOBILE_PHONE_PLATFORM,SamsungPay,
27,MOBILE_PHONE_PLATFORM,SamsungPay,1998-10-01
28,MOBILE_PHONE_PLATFORM,SamsungPay,
33,MOBILE_PHONE_PLATFORM,SamsungPay,
37,MOBILE_PHONE_PLATFORM,GooglePay,
35,CREDIT_CARD,4893297476407451,
36,PAYPAL,dyoung@example.net,
21,CREDIT_CARD,3511890977854934,
38,CREDIT_CARD,3555440774394341,
30,CREDIT_CARD,676352429069,
23,MOBILE_PHONE_PLATFORM,GooglePay,
20,MOBILE_PHONE_PLATFORM,ApplePay,
24,MOBILE_PHONE_PLATFORM,ApplePay,
54,MOBILE_PHONE_PLATFORM,GooglePay,
50,MOBILE_PHONE_PLATFORM,ApplePay,
57,MOBILE_PHONE_PLATFORM,SamsungPay,
43,PAYPAL,fwarren@example.net,
39,MOBILE_PHONE_PLATFORM,SamsungPay,
51,MOBILE_PHONE_PLATFORM,ApplePay,
56,MOBILE_PHONE_PLATFORM,SamsungPay,
52,PAYPAL,showard@example.org,
41,MOBILE_PHONE_PLATFORM,SamsungPay,
48,MOBILE_PHONE_PLATFORM,ApplePay,
44,MOBILE_PHONE_PLATFORM,SamsungPay,
55,MOBILE_PHONE_PLATFORM,SamsungPay,
49,MOBILE_PHONE_PLATFORM,GooglePay,
42,MOBILE_PHONE_PLATFORM,SamsungPay,
46,MOBILE_PHONE_PLATFORM,SamsungPay,
40,MOBILE_PHONE_PLATFORM,SamsungPay,
45,CREDIT_CARD,30460491259727,
47,MOBILE_PHONE_PLATFORM,SamsungPay,
53,PAYPAL,mbowman@example.org,
65,MOBILE_PHONE_PLATFORM,GooglePay,
204,MOBILE_PHONE_PLATFORM,SamsungPay,
71,MOBILE_PHONE_PLATFORM,SamsungPay,
68,MOBILE_PHONE_PLATFORM,SamsungPay,
72,MOBILE_PHONE_PLATFORM,SamsungPay,
58,MOBILE_PHONE_PLATFORM,ApplePay,
63,CREDIT_CARD,4362469914374575,
67,MOBILE_PHONE_PLATFORM,ApplePay,
61,MOBILE_PHONE_PLATFORM,ApplePay,
74,PAYPAL,ksullivan@example.org,
62,PAYPAL,kbrooks@example.net,
66,MOBILE_PHONE_PLATFORM,ApplePay,
76,PAYPAL,acunningham@example.net,
75,MOBILE_PHONE_PLATFORM,ApplePay,
